,bestanswer,score,BusinessID,Rating,Cuisine,NumberOfReviews
0,0.109334484,0,uaFHoq-a5XqxF-bsOK9_Qg,3.5,thai,901
1,0.963920772,1,IhSVn0TaX8xXb3wcQ-fgcA,4,thai,2442
2,0.907767057,1,je92kXXWjANmiN-dfwNapg,4,japanese,398
3,0.919865847,1,aSprnLY-6GkMk1cuv0TMeA,4,italian,839
4,0.064638726,0,AFidVhcRHCmlk6YxgRlO2Q,3.5,chinese,96
5,0.102775812,0,x9wa2M7gvf32swUSBP3uXA,3.5,thai,746
6,0.87966454,1,5fRh0bh2HDGYb7Lsms36vQ,4,chinese,21
7,0.000627723,0,pmJqb7-EckluXUk6Rtml6A,3,chinese,83
8,0.079166651,0,jYia13i0CBwNXadzAAxLJg,3.5,japanese,296
9,0.892469943,1,cJfbydHniqWsGL2VHVDHEg,4,indian,209
10,0.999011159,1,4mzogOLOVDPBDVTO4cz9fA,4.5,thai,63
11,0.075741135,0,S8Ntmdlw4bJDBOmxn865tg,3.5,italian,285
12,0.881262124,1,qu3niqEXOUdNxCCXnSPBYg,4,chinese,55
13,0.086360484,0,nv0z4xJoHGnQmBkQasYT6g,3.5,mexican,412
14,0.999990106,1,B_kcyXzmkJlFI9pSl7PHvw,5,japanese,54
15,0.913919926,1,FXhSEZfIqjMZh4hR0_8jMQ,4,thai,375
16,0.072505765,0,3VkdV_2H3cwvm3X5imtLxg,3.5,japanese,83
17,0.072206192,0,uR-MqserQgPRQK3aiP6WyQ,3.5,japanese,73
18,0.903446376,1,StFf9fVnAlhwrUWan0C4Ww,4,thai,92
19,0.903314531,1,uVfOB37NyYEGRs5FITM-nQ,4,mexican,185
20,0.00078444,0,EZHEA7QR_9WFeCJhbjK73Q,3,mexican,197
21,0.075080454,0,8Gg_SoA5TA7pLNB-xuPhPw,3.5,mexican,71
22,0.999016881,1,v0vBSvG0hRPBoYyK6dlaAw,4.5,thai,76
23,0.091028608,0,bMhqh_k_QZJMnVstIJzxRw,3.5,thai,445
24,0.885329723,1,VC1udoc_sbHdFaBr0-bMsA,4,indian,47
25,0.076184817,0,SGaUkkKGpoEN5C2AB_Vv6w,3.5,thai,10
26,0.081387609,0,xlv_CcDXH1hkG4Wq5mECkQ,3.5,mexican,267
27,0.892802954,1,D1V7ZadUtUPuYYlpDA1BOQ,4,japanese,24
28,0.896670997,1,ejmJTjHzdMxoq3t7pnnjrg,4,japanese,116
29,0.906170309,1,Ry9w-jFALWYhazi6jjyIKw,4,italian,452
30,0.077854663,0,yKPRuBvD3ScCc18QrZ4Y6w,3.5,mexican,159
31,0.918251455,1,pqebqpVTT8bR_s9iEu8dOA,4,japanese,694
32,0.999009848,1,HDoJIH-qW9FqJ5WB-bKTqA,4.5,thai,60
33,0.079688802,0,FgRJsieXorHgI-2XzGxh5A,3.5,japanese,312
34,0.998761535,1,1fVp9c5Vw04ig171a_juRw,4.5,chinese,40
35,0.000785218,0,pwzLpR9ys1NkE3ppjT88MQ,3,italian,392
36,0.076279104,0,l1JScxc5eWUYFmFl6sODgg,3.5,thai,13
37,0.06845887,0,aVU9U42HO0XWgvj5s_wYZQ,3.5,italian,41
38,0.89646399,1,MSVftNJ5lwPK9TQtHayaPQ,4,japanese,111
39,0.904100299,1,xbrQ2dHuQoFJmNxAuOky4A,4,italian,398
40,0.89677912,1,z4CzSOnngC2RaTEC_BgUWA,4,italian,215
41,0.999006212,1,PqqnNrUtU7XTKQvUM4cyqQ,4.5,mexican,148
42,0.074094124,0,SbSfNyGKyarQC-ixuIn7fw,3.5,mexican,39
43,0.000637714,0,R7PHDW6wKzYHOOh4f6MrzA,3,indian,22
44,0.069076926,0,w5OkGoc_gcA3EA399aV1Jg,3.5,indian,159
45,0.07979966,0,FkA9aoMhWO4XKFMTuTnl4Q,3.5,mexican,219
46,0.076153405,0,0jksmaH2Fiy3VTricU7g9A,3.5,thai,9
47,0.930745304,1,csVEpHy5KJoFvM1qp5XwLQ,4,thai,903
48,0.084373616,0,PsYY7NHs5cFEI5hW5IZUlg,3.5,mexican,355
49,0.902923703,1,YKfj-CUjgb9xQ1kN_bhNLg,4,mexican,175
50,0.881448805,1,MXstrG3HjF83LcxAd8OpTw,4,chinese,59
51,0.078349337,0,Ypz7j5vm0kZ2XqpjGjbHNw,3.5,thai,78
52,0.08006224,0,X8Tg6XHKERw-vdWRU4oH3Q,3.5,mexican,227
53,0.090512596,0,SBy46BviyBKowPjbTjDsHQ,3.5,thai,431
54,0.999351323,1,Q9F2ocrmYuGt1yn3M7MOBw,4.5,italian,1297
55,0.922400475,1,NebgteFykeM1gwiVgPcCHw,4,thai,628
56,0.000606523,0,MJwyoXJrN7UmqWcWQ5rG1w,3,chinese,6
57,0.898924053,1,Zq-bINENqMPz4zyMKQFvzQ,4,japanese,171
58,0.917266428,1,xFp3xSQ43J-i7nmJfNBsZA,4,thai,472
59,0.115343504,0,nFszVPUX4tj-oarjfBO0nw,3.5,thai,1036
60,0.078079261,0,wAmWk6hQaHjREDVe8z2otA,3.5,mexican,166
61,0.896530569,1,Phtq020-VoHgQp_p-vXVVA,4,italian,209
62,0.064838514,0,KT8Th7GSEdBiIhkIlqOV5g,3.5,indian,7
63,0.094867185,0,iIcUpEOjMLuzAIfyY_vgYA,3.5,thai,547
64,0.000730997,0,MzIUB4_G9TemKsPZJkelIw,3,indian,328
65,0.907288492,1,noBCTbD1Ylf5QR7PXy-rkA,4,indian,578
66,0.906894982,1,KISxxrvjxx5qrayhcASl5w,4,thai,182
67,0.885854959,1,XaEFFUabnbH8ZF7ccmSAlQ,4,chinese,155
68,0.998902321,1,07CFPHGST8k37uHYAGxYqQ,4.5,italian,118
69,0.892057776,1,SzH79XjUPoTYBnE3dybRsw,4,italian,103
70,0.99879384,1,OHD58Nwnf5sSMpSgpiUk3Q,4.5,indian,3
71,0.897634327,1,GuqvwAFpjjz3m3vicbJBTQ,4,mexican,43
72,0.999002635,1,47_jHPl3p4-OYGCVLy2ZIA,4.5,mexican,140
73,0.902486145,1,IFZ3_d01uflGixWrrD8_gg,4,indian,453
74,0.92627871,1,DpZ7Xaub8Lhpg7VJdHaPpg,4,japanese,945
75,0.000803704,0,FsHqkVb0kmLq1VW7P-xz1A,3,thai,155
