BusinessID,CoordinatesLongitude,InsertedAtTimestamp,Address,CoordinatesLatitude,Rating,Cuisine,ZipCode,Name,NumberOfReviews
uaFHoq-a5XqxF-bsOK9_Qg,-73.9868181646996,1555271126092,811 8th Ave,40.7616286634162,3.5,thai,10019,Real Kung Fu Little Steamed Buns Ramen,901
IhSVn0TaX8xXb3wcQ-fgcA,-73.9917399,1555271133380,118A Eldridge St,40.71839,4,thai,10002,Vanessa's Dumpling House,2442
je92kXXWjANmiN-dfwNapg,-73.9856719970703,1555270435459,110 1st Ave,40.7266273498535,4,japanese,10009,Sushi Dojo NYC,398
aSprnLY-6GkMk1cuv0TMeA,-73.981340475038,1555270472810,248 5th Ave,40.675332643247,4,italian,11215,Al Di La Trattoria,839
AFidVhcRHCmlk6YxgRlO2Q,-73.8350343704224,1555271090302,11616 Metropolitan Ave,40.707262693702,3.5,chinese,11418,Golden Fountain Kitchen,96
x9wa2M7gvf32swUSBP3uXA,-73.9876316100625,1555271131567,Worldwide Plz,40.7627155294445,3.5,thai,10019,Blockheads,746
5fRh0bh2HDGYb7Lsms36vQ,-74.0010624,1555271091254,16 1/2 1/2 Columbia Ave E,40.8424226,4,chinese,07650,China Moon Restaurant,21
pmJqb7-EckluXUk6Rtml6A,-73.96774,1555271080191,721 Columbus Ave,40.79221,3,chinese,10025,Hunan Park,83
jYia13i0CBwNXadzAAxLJg,-74.02927,1555270442605,8814 4th Ave,40.62106,3.5,japanese,11209,Arirang Hibachi Steakhouse,296
cJfbydHniqWsGL2VHVDHEg,-74.03183,1555270368758,8716 3rd Ave,40.62238,4,indian,11209,Bombay Grill,209
4mzogOLOVDPBDVTO4cz9fA,-74.03454,1555271119806,1814 Bergenline Ave,40.76397,4.5,thai,07087,Roi Siam,63
S8Ntmdlw4bJDBOmxn865tg,-73.986175361557,1555270478851,41 Madison Ave,40.7424278676851,3.5,italian,10010,A Voce,285
qu3niqEXOUdNxCCXnSPBYg,-74.00198,1555271077137,313 6th Ave,40.731,4,chinese,10014,Xi'an Famous Foods,55
nv0z4xJoHGnQmBkQasYT6g,-73.97544,1555271053332,622 Third Ave,40.74972,3.5,mexican,10017,La Biblioteca,412
B_kcyXzmkJlFI9pSl7PHvw,-73.98922,1555270428142,239 E 5th St,40.72699,5,japanese,10003,Restaurant Ukiyo,54
FXhSEZfIqjMZh4hR0_8jMQ,-73.9925113993899,1555271123334,360 W 42nd Street,40.7582902125633,4,thai,10036,China Xiang 中国湘,375
3VkdV_2H3cwvm3X5imtLxg,-73.99239,1555270440547,355 7th Ave,40.74826,3.5,japanese,10001,Lz Sushi,83
uR-MqserQgPRQK3aiP6WyQ,-74.00941,1555270440568,5603 7th Ave,40.63888,3.5,japanese,11220,Tokyo Ya,73
StFf9fVnAlhwrUWan0C4Ww,-73.99042,1555271125407,142 Smith St,40.687,4,thai,11201,Wanisa Home Kitchen,92
uVfOB37NyYEGRs5FITM-nQ,-73.99197,1555271042231,221 Smith St,40.68431,4,mexican,11201,Leyenda,185
EZHEA7QR_9WFeCJhbjK73Q,-74.0293640841882,1555271053334,80 River St,40.7362168298531,3,mexican,07030,Cadillac Cantina,197
8Gg_SoA5TA7pLNB-xuPhPw,-73.97393,1555271045412,100 W 83rd St,40.78458,3.5,mexican,10024,Mexikosher,71
v0vBSvG0hRPBoYyK6dlaAw,-73.943698,1555271135259,187 Graham Ave,40.708429,4.5,thai,11206,Emblem,76
bMhqh_k_QZJMnVstIJzxRw,-73.89161,1555271128152,40-10 74th St,40.74637,3.5,thai,11373,Thái Son,445
VC1udoc_sbHdFaBr0-bMsA,-73.9549,1555270364708,1378 1st Ave,40.76873,4,indian,10021,Bombay Chowk,47
SGaUkkKGpoEN5C2AB_Vv6w,-73.89958,1555271128193,64-02 Fresh Pond Rd,40.71012,3.5,thai,11385,Asomm Thai Cuisine,10
xlv_CcDXH1hkG4Wq5mECkQ,-73.95753,1555271047475,162 Franklin St,40.73079,3.5,mexican,11222,Vamos Al Tequila,267
D1V7ZadUtUPuYYlpDA1BOQ,-73.99129,1555270437283,570 8th Ave,40.75472,4,japanese,10018,Sakura Of Japan,24
